user_id,connection_date,app_name
534895818,2025-04-03,League of Legends
534895818,2025-04-03,Overwatch 2
534895818,2025-04-05,League of Legends
534895818,2025-04-01,Valorant
534895818,2025-04-07,Among Us
534895818,2025-04-03,Call of Duty: Warzone
199900695,2025-04-03,Discord
199900695,2025-04-03,Fortnite
199900695,2025-04-01,Genshin Impact
199900695,2025-04-04,Apex Legends
862061504,2025-04-01,Valorant
862061504,2025-04-02,Overwatch 2
862061504,2025-04-04,League of Legends
862061504,2025-04-02,Rocket League
862061504,2025-04-01,League of Legends
862061504,2025-04-02,Discord
862061504,2025-04-06,Rocket League
862061504,2025-04-05,Valorant
862061504,2025-04-04,Roblox
862061504,2025-04-03,Minecraft
862061504,2025-04-05,Call of Duty: Warzone
862061504,2025-04-02,Rocket League
862061504,2025-04-05,Fortnite
862061504,2025-04-07,Overwatch 2
862061504,2025-04-02,Overwatch 2
862061504,2025-04-05,Genshin Impact
787846514,2025-04-08,Valorant
787846514,2025-04-03,Roblox
787846514,2025-04-06,Valorant
787846514,2025-04-01,Fortnite
787846514,2025-04-02,Among Us
787846514,2025-04-05,Call of Duty: Warzone
787846514,2025-04-07,Hearthstone
787846514,2025-04-08,League of Legends
787846514,2025-04-04,PUBG
787846514,2025-04-08,Fortnite
787846514,2025-04-04,Valorant
787846514,2025-04-01,Call of Duty: Warzone
787846514,2025-04-05,Fortnite
787846514,2025-04-07,Among Us
787846514,2025-04-07,League of Legends
787846514,2025-04-06,Minecraft
787846514,2025-04-05,Apex Legends
996406478,2025-04-02,Valorant
996406478,2025-04-07,Fortnite
996406478,2025-04-05,Apex Legends
996406478,2025-04-08,League of Legends
996406478,2025-04-07,Valorant
996406478,2025-04-04,Valorant
996406478,2025-04-07,Counter-Strike 2
996406478,2025-04-01,Rocket League
996406478,2025-04-07,Roblox
996406478,2025-04-06,Fortnite
996406478,2025-04-01,Valorant
996406478,2025-04-03,Valorant
127521963,2025-04-07,Call of Duty: Warzone
127521963,2025-04-01,Discord
127521963,2025-04-02,Call of Duty: Warzone
127521963,2025-04-01,Roblox
127521963,2025-04-04,Roblox
127521963,2025-04-03,Genshin Impact
127521963,2025-04-06,Genshin Impact
127521963,2025-04-07,Call of Duty: Warzone
127521963,2025-04-04,Discord
127521963,2025-04-07,Hearthstone
127521963,2025-04-08,Valorant
423735072,2025-04-07,PUBG
423735072,2025-04-07,Rocket League
423735072,2025-04-01,Fortnite
423735072,2025-04-03,League of Legends
423735072,2025-04-01,Fortnite
423735072,2025-04-06,Counter-Strike 2
423735072,2025-04-05,Rocket League
423735072,2025-04-07,Genshin Impact
423735072,2025-04-08,Minecraft
423735072,2025-04-07,Minecraft
423735072,2025-04-01,Apex Legends
423735072,2025-04-07,Call of Duty: Warzone
423735072,2025-04-08,PUBG
423735072,2025-04-02,League of Legends
423735072,2025-04-03,Rocket League
415968376,2025-04-03,PUBG
415968376,2025-04-01,Discord
415968376,2025-04-03,Apex Legends
415968376,2025-04-05,PUBG
415968376,2025-04-06,League of Legends
670095050,2025-04-03,Rocket League
670095050,2025-04-04,Counter-Strike 2
670095050,2025-04-04,Fortnite
670095050,2025-04-08,Hearthstone
670095050,2025-04-01,Hearthstone
670095050,2025-04-07,Fortnite
670095050,2025-04-07,Minecraft
670095050,2025-04-08,Discord
670095050,2025-04-03,League of Legends
670095050,2025-04-08,Valorant
670095050,2025-04-01,Minecraft
670095050,2025-04-06,Apex Legends
670095050,2025-04-05,Fortnite
670095050,2025-04-01,Among Us
670095050,2025-04-05,PUBG
670095050,2025-04-06,Roblox
670095050,2025-04-08,Genshin Impact
670095050,2025-04-06,League of Legends
670095050,2025-04-01,Counter-Strike 2
670095050,2025-04-05,League of Legends
670095050,2025-04-06,Apex Legends
670095050,2025-04-04,Discord
670095050,2025-04-04,Counter-Strike 2
670095050,2025-04-07,League of Legends
670095050,2025-04-07,Apex Legends
841095389,2025-04-05,Fortnite
841095389,2025-04-07,Apex Legends
841095389,2025-04-01,League of Legends
841095389,2025-04-06,Call of Duty: Warzone
841095389,2025-04-01,League of Legends
841095389,2025-04-02,League of Legends
841095389,2025-04-06,Minecraft
841095389,2025-04-02,PUBG
841095389,2025-04-01,Valorant
841095389,2025-04-01,Apex Legends
841095389,2025-04-03,Roblox
841095389,2025-04-02,Call of Duty: Warzone
841095389,2025-04-08,Roblox
841095389,2025-04-08,Counter-Strike 2
841095389,2025-04-06,League of Legends
841095389,2025-04-07,League of Legends
841095389,2025-04-05,Among Us
841095389,2025-04-04,Fortnite
841095389,2025-04-06,PUBG
841095389,2025-04-03,Roblox
841095389,2025-04-07,Minecraft
841095389,2025-04-05,League of Legends
841095389,2025-04-03,Apex Legends
841095389,2025-04-03,Counter-Strike 2
841095389,2025-04-01,Counter-Strike 2
841095389,2025-04-06,Fortnite
841095389,2025-04-04,Valorant
841095389,2025-04-02,Rocket League
841095389,2025-04-01,League of Legends
841095389,2025-04-01,Valorant
841095389,2025-04-07,Valorant
841095389,2025-04-03,Overwatch 2
841095389,2025-04-03,Genshin Impact
669991478,2025-04-05,Apex Legends
669991478,2025-04-01,Apex Legends
669991478,2025-04-07,Valorant
669991478,2025-04-04,Among Us
669991478,2025-04-02,Apex Legends
669991478,2025-04-05,Roblox
669991478,2025-04-08,Counter-Strike 2
669991478,2025-04-08,Counter-Strike 2
669991478,2025-04-02,League of Legends
669991478,2025-04-06,Fortnite
669991478,2025-04-04,Genshin Impact
669991478,2025-04-07,Hearthstone
669991478,2025-04-07,Valorant
669991478,2025-04-05,Call of Duty: Warzone
669991478,2025-04-03,League of Legends
669991478,2025-04-08,Valorant
669991478,2025-04-03,Roblox
669991478,2025-04-02,PUBG
669991478,2025-04-05,League of Legends
429389114,2025-04-07,Fortnite
429389114,2025-04-06,Fortnite
429389114,2025-04-08,Among Us
429389114,2025-04-03,Call of Duty: Warzone
429389114,2025-04-03,Valorant
429389114,2025-04-01,Counter-Strike 2
429389114,2025-04-02,Apex Legends
429389114,2025-04-07,Rocket League
429389114,2025-04-06,Apex Legends
429389114,2025-04-04,Among Us
429389114,2025-04-05,Genshin Impact
429389114,2025-04-03,Roblox
429389114,2025-04-01,Valorant
429389114,2025-04-03,Minecraft
429389114,2025-04-03,Genshin Impact
429389114,2025-04-01,Among Us
429389114,2025-04-06,Hearthstone
429389114,2025-04-07,Valorant
429389114,2025-04-04,Among Us
429389114,2025-04-05,Counter-Strike 2
429389114,2025-04-08,Genshin Impact
429389114,2025-04-02,Roblox
429389114,2025-04-03,Roblox
429389114,2025-04-06,Apex Legends
429389114,2025-04-04,Minecraft
429389114,2025-04-03,Among Us
429389114,2025-04-04,Apex Legends
429389114,2025-04-07,Fortnite
